symbol,seed,volgate_time_in_market,volgate_churn,volgate_max_dd,volgate_dd_slope,volgate_regime_flips,bh_max_dd,random_churn,all_checks_passed
SPY,0,87.7,0.0040,1.3,0.000650,1,18.0,0.0238,True
SPY,1,87.7,0.0040,0.8,0.000772,1,8.2,0.0278,True
SPY,2,87.7,0.0040,0.8,0.000784,1,13.8,0.0159,True
SPY,3,87.7,0.0040,1.1,0.000627,1,17.6,0.0238,True
SPY,4,87.7,0.0040,0.7,0.000686,1,8.0,0.0238,True
SPY,5,87.7,0.0040,1.2,0.000684,1,14.3,0.0317,True
SPY,6,87.7,0.0040,1.2,0.000612,1,15.8,0.0159,True
SPY,7,87.7,0.0040,1.4,0.000684,1,16.5,0.0119,True
SPY,8,87.7,0.0040,1.4,0.000764,1,17.5,0.0238,True
SPY,9,87.7,0.0040,1.1,0.000758,1,12.9,0.0278,True
GLD,0,87.7,0.0040,1.3,0.000693,1,18.0,0.0238,True
GLD,1,87.7,0.0040,0.8,0.000764,1,8.2,0.0278,True
GLD,2,87.7,0.0040,0.8,0.000790,1,13.9,0.0159,True
GLD,3,87.7,0.0040,1.1,0.000620,1,17.6,0.0238,True
GLD,4,87.7,0.0040,0.7,0.000717,1,8.1,0.0238,True
GLD,5,87.7,0.0040,1.3,0.000715,1,14.3,0.0317,True
GLD,6,87.7,0.0040,1.3,0.000645,1,15.8,0.0159,True
GLD,7,87.7,0.0040,1.4,0.000676,1,16.6,0.0119,True
GLD,8,87.7,0.0040,1.4,0.000759,1,17.5,0.0238,True
GLD,9,87.7,0.0040,1.1,0.000772,1,12.9,0.0278,True
TLT,0,87.7,0.0040,1.3,0.000691,1,18.0,0.0238,True
TLT,1,87.7,0.0040,0.8,0.000765,1,8.2,0.0278,True
TLT,2,87.7,0.0040,0.9,0.000794,1,13.9,0.0159,True
TLT,3,87.7,0.0040,1.1,0.000629,1,17.6,0.0238,True
TLT,4,87.7,0.0040,0.7,0.000708,1,8.1,0.0238,True
TLT,5,87.7,0.0040,1.3,0.000715,1,14.3,0.0317,True
TLT,6,87.7,0.0040,1.3,0.000645,1,15.8,0.0159,True
TLT,7,87.7,0.0040,1.4,0.000686,1,16.6,0.0119,True
TLT,8,87.7,0.0040,1.4,0.000769,1,17.5,0.0238,True
TLT,9,87.7,0.0040,1.1,0.000773,1,12.9,0.0278,True
